0 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 
0 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 2.5 2.5 5 
0 5 5 5 2.5 2.5 5 
0 5 5 5 2.5 2.5 5 
0 5 5 5 2.5 2.5 5 
0 5 5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 5 
0 5 5 2.5 2.5 5 5 
0 5 5 2.5 2.5 5 
0 5 2.5 2.5 2.5 5 
0 5 2.5 2.5 2.5 5 
0 2.5 2.5 1.25 1.25 1.25 1.25 5 
0 5 2.5 2.5 1.25 1.25 5 
0 5 2.5 1.25 1.25 2.5 5 
0 2.5 2.5 1.25 1.25 5 
0 2.5 1.25 1.25 1.25 5 
0 2.5 1.25 1.25 0.625 0.625 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 2.5 1.25 1.25 1.25 5 
0 2.5 1.25 1.25 1.25 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 5 2.5 2.5 1.25 1.25 5 
0 5 2.5 1.25 1.25 2.5 5 
0 1.25 2.5 1.25 1.25 5 
0 2.5 1.25 1.25 1.25 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 2.5 1.25 1.25 1.25 5 
0 2.5 1.25 1.25 2.5 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 1.25 1.25 2.5 0.625 0.625 5 
0 5 2.5 2.5 2.5 5 
0 5 2.5 2.5 5 5 
0 1.25 1.25 2.5 2.5 1.25 1.25 5 
0 2.5 2.5 5 2.5 5 
0 5 2.5 2.5 5 5 5 
0 5 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 
0 5 5 5 5 5 
0 5 5 2.5 2.5 5 5 
0 2.5 5 1.25 1.25 2.5 5 
0 2.5 2.5 1.25 1.25 5 
0 2.5 1.25 1.25 0.625 0.625 5 
0 2.5 1.25 1.25 1.25 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 5 2.5 1.25 1.25 2.5 5 
0 1.25 2.5 1.25 1.25 5 
0 1.25 1.25 1.25 0.625 0.625 5 
0 2.5 1.25 1.25 1.25 5 
0 1.25 1.25 0.625 0.625 1.25 5 
0 1.25 1.25 0.625 0.625 5 
0 1.25 0.625 0.625 0.625 5 
0 1.25 0.625 0.625 0.625 5 
0 0.625 0.625 0.625 0.625 5 
0 1.25 0.625 0.625 0.625 5 
0 1.25 0.625 0.625 0.625 5 
0 0.625 0.625 0.625 0.625 5 
0 0.625 0.625 0.625 0.625 5 
0 1.25 0.625 0.625 0.625 5 
